date,action,ticker,name,shares,price,value,fee,reason,cash_after,portfolio_value
2020-10-23,BUY,LIFCO-B.ST,Lifco,7212,124.79,899991.0,1350,dip to support,362456,5399117
2020-10-28,SELL,AZN.ST,AstraZeneca,849,897.15,761678.0,1143,"support broke (entry 1038.62, P/L -13.6%)",1122992,5193821
2020-11-02,SIP,,monthly deposit,,,25000.0,0,contribution,1147992,5292431
2020-11-06,BUY,SAND.ST,Sandvik,6863,136.11,934134.0,1401,dip to support,212456,5603410
2020-12-01,SIP,,monthly deposit,,,25000.0,0,contribution,237456,5952348
2021-01-04,SIP,,monthly deposit,,,25000.0,0,contribution,262456,6495918
2021-02-01,SIP,,monthly deposit,,,25000.0,0,contribution,287456,7029458
2021-03-01,SIP,,monthly deposit,,,25000.0,0,contribution,312456,7553417
2021-04-01,SIP,,monthly deposit,,,25000.0,0,contribution,337456,8339480
2021-05-03,SIP,,monthly deposit,,,25000.0,0,contribution,362456,9197457
2021-06-01,SIP,,monthly deposit,,,25000.0,0,contribution,387456,9170027
2021-07-01,SIP,,monthly deposit,,,25000.0,0,contribution,412456,8908474
2021-08-02,SIP,,monthly deposit,,,25000.0,0,contribution,437456,10282456
2021-09-01,SIP,,monthly deposit,,,25000.0,0,contribution,462456,10088350
2021-09-27,SELL,EQT.ST,EQT,5509,343.66,1893224.0,2840,"trailing stop (entry 156.29, P/L +119.9%)",2352840,9360879
2021-09-30,SELL,EVO.ST,Evolution,2231,1322.42,2950316.0,4425,"trailing stop (entry 330.05, P/L +300.7%)",5298731,9160331
2021-10-01,SIP,,monthly deposit,,,25000.0,0,contribution,5323731,9157346
2021-10-01,BUY,SHB-A.ST,Handelsbanken,26872,56.8,1526218.0,2289,dip to support,3795223,9155056
2021-10-08,BUY,ABB.ST,ABB,5614,274.29,1539879.0,2310,dip to support,2253034,9237453
2021-10-08,BUY,ATCO-A.ST,Atlas Copco,12588,122.34,1539956.0,2310,dip to support,710768,9235143
2021-11-01,SIP,,monthly deposit,,,25000.0,0,contribution,735768,9554064
2021-11-05,SELL,SCA-B.ST,SCA,8599,120.32,1034620.0,1552,"trailing stop (entry 98.34, P/L +22.4%)",1768836,9679040
2021-11-05,BUY,SAAB-B.ST,SAAB,27270,59.15,1613151.0,2420,dip to support,153265,9676620
2021-12-01,SIP,,monthly deposit,,,25000.0,0,contribution,178265,9702617
2021-12-06,SELL,SAAB-B.ST,SAAB,27270,53.49,1458547.0,2188,"support broke (entry 59.15, P/L -9.6%)",1634624,9656868
2021-12-17,BUY,AZN.ST,AstraZeneca,1578,1025.86,1618815.0,2428,dip to support,13381,9716469
2022-01-03,SIP,,monthly deposit,,,25000.0,0,contribution,38381,10352277
2022-01-14,SELL,LIFCO-B.ST,Lifco,7212,205.29,1480572.0,2221,"trailing stop (entry 124.79, P/L +64.5%)",1516732,9732919
2022-02-01,SIP,,monthly deposit,,,25000.0,0,contribution,1541732,9595602
2022-02-11,SELL,ATCO-A.ST,Atlas Copco,12588,117.73,1481991.0,2223,"trailing stop (entry 122.34, P/L -3.8%)",3021501,9407081
2022-02-11,BUY,SWED-A.ST,Swedbank,13374,117.22,1567744.0,2352,dip to support,1451406,9404729
2022-02-24,SELL,SWED-A.ST,Swedbank,13374,104.66,1399725.0,2100,"support broke (entry 117.22, P/L -10.7%)",2849031,8884032
2022-02-25,BUY,SAAB-B.ST,SAAB,25797,58.46,1507968.0,2262,dip to support,1338801,9045756
2022-02-28,SELL,SAND.ST,Sandvik,6863,174.82,1199816.0,1800,"trailing stop (entry 136.11, P/L +28.4%)",2536818,9292147
2022-03-01,SIP,,monthly deposit,,,25000.0,0,contribution,2561818,9360505
